Herb_Name,Concentration,pH,TDS_ppm,ORP_mV,Temperature_C,Color_R,Color_G,Color_B,Potency
Ashwagandha,0.0,6.31,0.0,-13.68,25.78,255,255,236,Empty
Ashwagandha,0.0,7.131,0.0,9.03,23.05,251,255,255,Empty
Ashwagandha,0.0,6.669,0.0,-12.29,25.31,242,204,255,Empty
Ashwagandha,0.0,6.745,2.68,6.18,24.05,196,255,246,Empty
Ashwagandha,0.0,6.532,0.0,-9.07,23.69,223,218,244,Empty
Ashwagandha,0.0,6.317,0.0,-10.64,26.56,255,255,246,Empty
Ashwagandha,0.0,6.41,0.0,-1.55,26.28,255,228,255,Empty
Ashwagandha,0.0,7.044,4.1,0.88,24.22,255,255,255,Empty
Ashwagandha,0.0,6.947,0.0,-2.53,23.15,255,243,203,Empty
Ashwagandha,0.0,6.24,0.0,2.23,27.11,255,221,202,Empty
Ashwagandha,0.0,6.357,0.39,-6.84,24.03,255,255,243,Empty
Ashwagandha,0.0,6.817,0.0,13.71,25.07,255,255,237,Empty
Ashwagandha,0.0,6.467,3.43,12.15,25.26,205,251,221,Empty
Ashwagandha,0.0,6.553,7.78,-12.38,23.56,222,246,181,Empty
Ashwagandha,0.0,6.062,1.5,-8.46,25.24,238,233,254,Empty
Ashwagandha,0.0,6.71,12.35,7.94,25.64,255,217,255,Empty
Ashwagandha,0.0,7.247,0.0,0.19,22.73,242,230,255,Empty
Ashwagandha,0.0,7.171,0.0,6.65,27.09,245,248,255,Empty
Ashwagandha,0.0,6.719,0.0,-6.38,26.37,227,177,225,Empty
Ashwagandha,0.0,6.372,0.0,-5.56,26.63,228,227,182,Empty
Ashwagandha,0.0,6.539,0.0,-17.71,26.92,244,244,255,Empty
Ashwagandha,0.0,6.78,9.88,-5.27,24.11,255,224,225,Empty
Ashwagandha,0.0,7.036,0.0,19.05,24.03,245,255,242,Empty
Ashwagandha,0.0,6.588,11.11,7.41,23.96,167,182,250,Empty
Ashwagandha,0.0,6.138,0.0,17.47,24.63,249,237,240,Empty
Ashwagandha,0.0,6.348,0.0,-9.31,24.21,250,255,222,Empty
Ashwagandha,0.0,6.089,0.0,12.27,27.88,194,183,225,Empty
Ashwagandha,0.0,5.993,4.62,-2.91,24.2,215,228,191,Empty
Ashwagandha,0.0,7.197,9.07,-11.71,25.48,255,248,204,Empty
Ashwagandha,0.0,6.443,0.0,1.17,25.77,182,169,244,Empty
Ashwagandha,0.0,6.084,4.5,5.64,23.59,255,244,214,Empty
Ashwagandha,0.0,6.582,0.0,32.01,27.58,255,255,244,Empty
Ashwagandha,0.0,6.759,0.0,-3.46,24.65,214,239,217,Empty
Ashwagandha,0.0,6.482,0.0,8.4,24.58,214,221,236,Empty
